,address,lat,lon
0,1515 E OCEAN AVE LOMPOC CA,34.6411375,-120.4395191
1,11100 EUCLID AVENUE CLEVELAND OH,41.5061253,-81.6053845
2,681 CLARKSON AVE BROOKLYN NY,40.6570111,-73.9385539
3,7555 PIONEERS BLVD LINCOLN NE,40.7693186,-96.617367
4,101 MEDICAL DRIVE VICTORIA TX,28.854432,-97.0193516
5,90 NORTH 4TH STREET MARTINS FERRY OH,40.09851949999999,-80.72031559999999
6,712 CASCADE STREET SOUTH FERGUS FALLS MN,46.2768753,-96.0736053
7,77 N AIRLITE STREET ELGIN IL,42.035798,-88.325964
8,2309 ANTONIO AVE CAMARILLO CA,34.24436790000001,-119.0195219
9,711 CHESTERFIELD HWY CHERAW SC,34.694497,-79.91962000000001
10,100 MEDICAL PLAZA LAKE ST. LOUIS MO,38.802799,-90.7754904
11,5215 HOLY CROSS PKWY MISHAWAKA IN,41.7070429,-86.1734082
12,1710 LAFAYETTE RD CRAWFORDSVILLE IN,40.06630639999999,-86.90566419999999
13,205 PARKER ST BOSCOBEL WI,43.1333699,-90.70818059999999
14,601 GROVE AVE WILD ROSE WI,44.183808,-89.246213
15,"506 EAST SAN ANTONIO STREET, 3RD FLOOR VICTORIA TX",28.808116,-96.9987329
16,24800 SE STARK STREET GRESHAM OR,45.5167316,-122.4069514
17,10628 PARK ROAD CHARLOTTE NC,35.0920503,-80.8718834
18,809 82ND PKWY MYRTLE BEACH SC,33.7586565,-78.8190417
19,6401 DIRECTORS PARKWAY ABILENE TX,32.371255,-99.743951
20,220 WEST SECOND STREET GOODLAND KS,39.3589436,-101.714569
21,107 SWIFT STREET REFUGIO TX,28.3066874,-97.27986990000001
22,1260 UNIVERSITY AVENUE SEWANEE TN,35.2077234,-85.91378320000001
23,2590 GRANT RD MOUNTAIN VIEW CA,37.3675816,-122.0795849
24,1201 SOUTH GRAND BLVD ST. LOUIS MO,38.6239662,-90.2377784
25,1380 EAST MEDICAL CENTER DRIVE ST GEORGE UT,37.0968017,-113.5539707
26,538 BROADWAY WINNIE TX,29.81972,-94.37662859999999
27,1000 CONEY STREET WEST PERHAM MN,46.5939093,-95.5931883
28,701 SOUTH HOLLY STREET COLLINS MS,31.6379001,-89.5545354
29,1611 NW 12TH AVE MIAMI FL,25.7916372,-80.214209
30,401 W PENNSYLVANIA AVE ANACONDA MT,46.13266309999999,-112.9569732
31,400 WEST BLACKWELL STREET DOVER NJ,40.88507449999999,-74.57616879999999
32,3651 COLLEGE BLVD LEAWOOD KS,38.9267286,-94.6281676
33,11217 LAKEVIEW AVENUE LENEXA KS,38.9242455,-94.7689968
34,"323 EVERGREEN STREET, SUITE B BUNKIE LA",30.9524698,-92.17788
35,24600 W 127TH ST PLAINFIELD IL,41.65282819999999,-88.2197186
36,345 EAST SUPERIOR STREET CHICAGO IL,41.89557780000001,-87.6184015
37,1301 SOUTH MAIN STREET OTTAWA KS,38.5963561,-95.26770909999999
38,3462 HOSPITAL ROAD HEALDTON OK,34.2228594,-97.49147959999999
39,210 W SAN BERNARDINO RD COVINA CA,34.088233,-117.8937523
40,1670 CLAIRMONT ROAD DECATUR GA,33.802183,-84.31310069999999
41,40100 HIGHWAY 27 DAVENPORT FL,28.1814928,-81.64169439999999
42,280 MAPLE STREET ASHLAND OR,42.206032,-122.7250341
43,795 WILLOW RD MENLO PARK CA,37.4655086,-122.1607757
44,120 N DELAWARE STREET SANDUSKY MI,43.4234812,-82.83216949999999
45,611 ST JOSEPH AVE MARSHFIELD WI,44.6762716,-90.17823109999999
46,US HIGHWAY 77-75 WINNEBAGO NE,42.2575486,-96.4776352
47,255 LAFAYETTE AVENUE SUFFERN NY,41.1109425,-74.13477689999999
48,601 MAIN ST DUNEDIN FL,28.0140597,-82.78375609999999
49,6515 KEMP BOULEVARD WICHITA FALLS TX,33.8459194,-98.524129
50,250 WEST 300 NORTH ROOSEVELT UT,40.3040875,-109.9960162
51,224 EAST SECOND STREET DUMAS TX,35.8645507,-101.9706511
52,6902 S PEEK ROAD RICHMOND TX,29.6943925,-95.76117149999999
53,500 EAST ACADEMY PARIS AR,35.2892132,-93.7248661
54,"624 N 2ND ST, PO BOX 406 LINCOLN KS",39.011902,-98.4842465
