,address,lat,lon
0,"41 PERIMETER CENTER EAST, SUITE 400ATLANTAGA",33.9233278,-84.3303419
1,4000 WELLNESS DRIVEMIDLANDMI,43.6358847,-84.2632635
2,2000 STADIUM WAYLOS ANGELESCA,34.0761338,-118.2481282
3,805 PAMPLICO HWYFLORENCESC,34.159919,-79.7524555
4,1304 W BOBO NEWSOM HWYHARTSVILLESC,34.3499531,-80.1042957
5,1800 BYPASS ROADHEBER SPRINGSAR,35.5044136,-91.99801749999999
6,"10101 PARK ROWE AVENUE, SUITE 600BATON ROUGELA",30.3802228,-91.09405509999999
7,1230 YORK AVENUENEW YORKNY,40.7620682,-73.9567885
8,2315 EAST MAIN STREETNEW IBERIALA,29.9899329,-91.78542809999999
9,2817 NEW PINERY ROADPORTAGEWI,43.5671155,-89.4663678
10,6700 IH-10 WESTSAN ANTONIOTX,29.4898283,-98.54752769999999
11,3402 ANDERSON HEALTHCARE DRIVEEDWARDSVILLEIL,38.7815011,-89.92275149999999
12,350 NORTH 11TH STREETSUNBURYPA,40.861872,-76.77794399999999
13,7950 MARTIN LOOPFORT BENNINGGA,32.3735979,-84.9284802
14,"8451 PEARL ST, SUITE 101THORNTONCO",39.8502597,-104.9804143
15,3 ERIE COURTOAK PARKIL,41.8915739,-87.77624229999999
16,1700 E 19TH STREETTHE DALLESOR,45.5874991,-121.1636182
17,610 W MAIN STREETWILMINGTONOH,39.4422776,-83.840321
18,5818 HARBOUR VIEW BOULEVARDSUFFOLKVA,36.8693626,-76.4429851
19,401 GETWELL DRIVESENATOBIAMS,34.6246638,-89.9561098
20,"1125 SOUTH TRENTON, 2ND & 3RD FLOORTULSAOK",40.1747708,-101.0129668
21,1900 S D STMCALLENTX,26.1838146,-98.2183074
22,5726 ESPLANADE DRIVECORPUS CHRISTITX,27.6884137,-97.3779799
23,345 EAST SUPERIOR STREETCHICAGOIL,41.89557780000001,-87.6184015
24,2140 JUNCTION AVESTURGISSD,44.4024228,-103.5076907
25,5017 S 110TH STGREENFIELDWI,42.9534452,-88.0511957
26,1100 WEST 2ND STOSHKOSHNE,39.5242509,-119.8272816
27,220 STEUBEN STREETMONTOUR FALLSNY,42.3524508,-76.85993429999999
28,10010 KENNERLY ROADST. LOUISMO,38.5069813,-90.3805002
29,120 KINGS WAYWILLIAMSBURGVA,37.2559141,-76.7403613
30,158 HOSPITAL DRIVECARTHAGETN,36.2635548,-85.9499744
31,502 4TH AVE WTOPPENISHWA,40.6683989,-73.9907842
32,301 WEST 7TH AVENUEBIG TIMBERMT,45.8277913,-109.952061
33,200 SOMERSET STREETNEW BRUNSWICKNJ,40.4948536,-74.45163
34,300 ROCKEFELLER DRIVEMUSKOGEEOK,35.7526359,-95.40589949999999
35,2525 S DOWNING STDENVERCO,39.6705695,-104.9745722
36,"1403 S KING ST, PO BOX 40WINDSORNC",21.2982142,-157.840095
37,229 BELLEMEADE BLVDGRETNALA,29.8911689,-90.037308
38,10501 EAST 91ST STREET SOUTHTULSAOK,36.0333003,-95.8577675
39,2830 CALDERBEAUMONTTX,30.0868054,-94.1320259
40,101 HOSPITAL DRIVEMAGNOLIAAR,33.2742233,-93.239115
41,711 MARSHALL STREETLEAVENWORTHKS,39.3073185,-94.9183175
42,801 GOODYEAR AVENUEGADSDENAL,34.0067381,-85.9685294
