,address,coordinates
0,"14241 Grand Oaks Dr, Baxter, MN 56425, USA","46.3591422,-94.2576299"
1,"220 MS-12, Kosciusko, MS 39090, USA","33.06586615,-89.59836339"
2,"1390 Northwestern Dr, El Paso, TX 79912, USA","31.87989416,-106.5735232"
3,"322 S Birch St, McCleary, WA 98557, USA","47.05579212,-123.2602846"
4,"1905 Doctors' Hospital Drive, Bridgeport, TX 76426, USA","33.21936526,-97.76235235"
5,"777 Ave H, Powell, WY 82435, USA","44.7569224,-108.771768"
6,"300 S Preston St, Ranson, WV 25438, USA","39.29598914,-77.85875906"
7,"150 E Arapahoe St, Thermopolis, WY 82443, USA","43.64801527,-108.199256"
8,"705 E Greenwood Ave, Bowie, TX 76230, USA","33.56222051,-97.83437949"
9,"Urb. Santa Juanita Calle 30, 200, Esq Cll 41, Bayamón, 00956, Puerto Rico","18.36765915,-66.15367444"
10,"2600 St Michael Dr, Texarkana, TX 75503, USA","33.46417889,-94.0754934"
11,"224 E 2nd St, Dumas, TX 79029, USA","35.86449556,-101.9705582"
12,"795 Willow Rd, Menlo Park, CA 94025, USA","37.4652921,-122.1610052"
13,"7501 Wallace Blvd, Amarillo, TX 79124, USA","35.194182,-101.9270551"
14,"750 H L Ross Dr, Monticello, AR 71655, USA","33.61088459,-91.81679407"
15,"400 Sentara Cir, Williamsburg, VA 23188, USA","37.33745961,-76.74159568"
16,"13250 Washington Ave, Mt Pleasant, WI 53177, USA","42.72752582,-87.94675204"
17,"120 Hospital Dr Suite 300, Lebanon, MO 65536, USA","37.68127753,-92.63394624"
18,"9250 Pinecroft Dr, Shenandoah, TX 77380, USA","30.17433545,-95.454342"
19,"215 Chisholm Trail, Jacksboro, TX 76458, USA","33.23066769,-98.16693865"
20,"131 Calle Hermanos Ortiz Saez, Vega Baja, 00693, Puerto Rico","18.44556528,-66.3990695"
21,"513 3rd St, Wagner, SD 57380, USA","43.07837515,-98.30200323"
22,"1001 Holland Ave, Philadelphia, MS 39350, USA","32.75696071,-89.10626096"
23,"201 Seton Pkwy, Round Rock, TX 78665, USA","30.56676232,-97.65138735"
24,"305 N main, Ennis, MT 59729, USA","45.35174722,-111.732019"
25,"174 First Ave N, Ilwaco, WA 98624, USA","46.3114343,-124.0426308"
26,"3100 Superior Ave, Sheboygan, WI 53081, USA","43.7623479,-87.74753796"
27,"300 Sector Cuesta Los Jobos, Humacao, 00791, Puerto Rico","18.15274643,-65.83403257"
28,"2924 Brook Rd, Richmond, VA 23220, USA","37.57090134,-77.45083318"
29,"1451 44th Ave S # 104D, Grand Forks, ND 58201, USA","47.87786025,-97.04697286"
30,"1870 S 75th St, Omaha, NE 68124, USA","41.24084598,-96.03020737"
31,"515 Delaware St SE, Minneapolis, MN 55455, USA","44.97308048,-93.23144086"
32,"VA Hospital, Riviera Beach, FL 33418, USA","26.78492803,-80.11247524"
33,"1111 Elmwood Ave, Rochester, NY 14620, USA","43.12331264,-77.61057965"
34,"620 3rd Ave SE, Aberdeen, SD 57401, USA","45.46151003,-98.47851235"
35,"733 E Olympia Ave, Punta Gorda, FL 33950, USA","26.93944443,-82.04052614"
36,"123 Hospital Dr #201, Watertown, WI 53098, USA","43.19909065,-88.69685246"
37,"804 S Carroll St, Rock Rapids, IA 51246, USA","43.42383001,-96.17198959"
38,"421 S Main St 1st Floor, Crossville, TN 38555, USA","35.943325,-85.02203136"
39,"719 W Coke Rd Medical Office Bldg. 1, Ste. 3, Winnsboro, TX 75494, USA","32.94453832,-95.30727963"
40,"403 Treeline Park STE 200, San Antonio, TX 78209, USA","29.50580177,-98.47604764"
